"College code","College name",,,,,"College area","    City","Branch","Round","Shift","AIEEE Rank","AIEEE Score","OPEN (MALE) Score","OPEN (MALE) SML","OPEN (FEMALE) Score","OPEN (FEMALE) SML","SC (MALE) Score","SC (MALE) SML","SC (FEMALE) Score","SC (FEMALE) SML","ST (MALE) Score","ST (MALE) SML","ST (FEMALE) Score","ST (FEMALE) SML","VJ (MALE) Score","VJ (MALE) SML","VJ (FEMALE) Score","VJ (FEMALE) SML","NT1 (MALE) Score","NT1 (MALE) SML","NT1 (FEMALE) Score","NT1 (FEMALE) SML","NT2 (MALE) Score","NT2 (MALE) SML","NT2 (FEMALE) Score","NT2 (FEMALE) SML","NT3 (MALE) Score","NT3 (MALE) SML","NT3 (FEMALE) Score","NT3 (FEMALE) SML","OBC (MALE) Score","OBC (MALE) SML","OBC (FEMALE) Score","OBC (FEMALE) SML","OTHER THAN HOME    UNIV.ROUND ",,"Branch","Shift","OPEN (MALE) Score","OPEN (MALE) SML","OPEN (FEMALE) Score","OPEN (FEMALE) SML","SC (MALE) Score","SC (MALE) SML","SC (FEMALE) Score","SC (FEMALE) SML","ST (MALE) Score","ST (MALE) SML","ST (FEMALE) Score","ST (FEMALE) SML","VJ (MALE) Score","VJ (MALE) SML","VJ (FEMALE) Score","VJ (FEMALE) SML","NT1 (MALE) Score","NT1 (MALE) SML","NT1 (FEMALE) Score","NT1 (FEMALE) SML","NT2 (MALE) Score","NT2 (MALE) SML","NT2 (FEMALE) Score","NT2 (FEMALE) SML","NT3 (MALE) Score","NT3 (MALE) SML","NT3 (FEMALE) Score","NT3 (FEMALE) SML","OBC (MALE) Score","OBC (MALE) SML","OBC (FEMALE) Score","OBC (FEMALE) SML"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EN6004"," Government College of Engineering",,,,," Avasari","Pune","Auto","I","NA",0,0,102,21119,86,35216,66,70523,60,84847,67,68269,65,72992,67,67193,66,71604,74,52305,0,0,99,22723,0,0,91,29820,0,0,93,27696,76,49339,"I",,"Auto","NA",117,12435,107,17575,96,25180,81,41093,64,75815,0,0,89,31336,0,0,0,0,0,0,116,13001,0,0,0,0,0,0,116,13235,86,34540
"EN6004"," Government College of Engineering",,,,," Avasari","Pune","Auto","II","NA",0,0,0,0,79,44813,65,73372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,32130,75,51708,"II",,"Auto","NA",119,11611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,36208
"EN6004"," Government College of Engineering",,,,," Avasari","Pune","Civil","I","NA",0,0,103,19844,102,20652,77,47573,88,33286,73,55371,73,55884,93,27881,0,0,87,33387,0,0,89,31273,0,0,0,0,0,0,94,26662,89,31619,"I",,"Civil","NA",125,9418,121,10817,101,21318,86,34834,0,0,76,49579,101,21673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,10835,115,13337
"EN6004"," Government College of Engineering",,,,," Avasari","Pune","Civil","II","NA",0,0,94,26838,0,0,64,74815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"II",,"Civil","NA",123,10197,109,16799,0,0,81,42410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,10932,0,0
"EN6004"," Government College of Engineering",,,,," Avasari","Pune","Comp","I","NA",0,0,111,15459,118,12057,78,46882,84,37788,70,61346,81,41769,52,103070,70,61074,99,22661,0,0,81,41071,"0","0",111,15484,0,0,94,26895,110,16115,"I",,"Comp","NA",126,9211,122,10413,98,23522,103,20420,65,73116,0,0,0,0,0,0,95,26028,0,0,107,17844,0,0,0,0,0,0,125,9391,"0","0"
"EN6004"," Government College of Engineering",,,,," Avasari","Pune","Comp","II","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,100134,0,0,0,0,0,0,0,0,0,0,88,32659,0,0,"II",,"Comp","NA",127,8846,0,0,86,34953,80,43904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EN6004"," Government College of Engineering",,,,," Avasari","Pune","E & TC","I","NA",0,0,110,16047,112,14761,88,32504,66,71134,69,64254,38,114700,68,65456,0,0,73,55642,0,0,107,17429,90,30811,0,0,0,0,103,19811,98,23635,"I",,"E & TC","NA",135,6627,144,4471,107,17731,96,25329,77,47529,0,0,0,0,105,19155,0,0,0,0,0,0,0,0,121,11043,0,0,130,7816,127,8824
"EN6004"," Government College of Engineering",,,,," Avasari","Pune","E & TC","II","NA",0,0,0,0,110,15993,67,69399,0,0,0,0,0,0,89,31333,0,0,0,0,0,0,0,0,68,66796,0,0,0,0,0,0,0,0,"II",,"E & TC","NA",139,5503,153,2854,0,0,0,0,0,0,0,0,0,0,57,92586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
