"College code","College name",,,,,"College area","    City","Branch","Round","Shift","AIEEE Rank","AIEEE Score","OPEN (MALE) Score","OPEN (MALE) SML","OPEN (FEMALE) Score","OPEN (FEMALE) SML","SC (MALE) Score","SC (MALE) SML","SC (FEMALE) Score","SC (FEMALE) SML","ST (MALE) Score","ST (MALE) SML","ST (FEMALE) Score","ST (FEMALE) SML","VJ (MALE) Score","VJ (MALE) SML","VJ (FEMALE) Score","VJ (FEMALE) SML","NT1 (MALE) Score","NT1 (MALE) SML","NT1 (FEMALE) Score","NT1 (FEMALE) SML","NT2 (MALE) Score","NT2 (MALE) SML","NT2 (FEMALE) Score","NT2 (FEMALE) SML","NT3 (MALE) Score","NT3 (MALE) SML","NT3 (FEMALE) Score","NT3 (FEMALE) SML","OBC (MALE) Score","OBC (MALE) SML","OBC (FEMALE) Score","OBC (FEMALE) SML","OTHER THAN HOME    UNIV.ROUND ",,"Branch","Shift","OPEN (MALE) Score","OPEN (MALE) SML","OPEN (FEMALE) Score","OPEN (FEMALE) SML","SC (MALE) Score","SC (MALE) SML","SC (FEMALE) Score","SC (FEMALE) SML","ST (MALE) Score","ST (MALE) SML","ST (FEMALE) Score","ST (FEMALE) SML","VJ (MALE) Score","VJ (MALE) SML","VJ (FEMALE) Score","VJ (FEMALE) SML","NT1 (MALE) Score","NT1 (MALE) SML","NT1 (FEMALE) Score","NT1 (FEMALE) SML","NT2 (MALE) Score","NT2 (MALE) SML","NT2 (FEMALE) Score","NT2 (FEMALE) SML","NT3 (MALE) Score","NT3 (MALE) SML","NT3 (FEMALE) Score","NT3 (FEMALE) SML","OBC (MALE) Score","OBC (MALE) SML","OBC (FEMALE) Score","OBC (FEMALE) SML"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EN5181","Gokhale Education Society, College of Engineering",,,,,"Nashik","Nashik","Civil","I","NA",27102,26,81,41457,82,40402,67,68824,59,88407,63,77278,0,0,43,113485,0,0,0,0,59,88402,0,0,0,0,0,0,76,48803,77,47409,0,0,"I",,"Civil","NA",81,42270,76,50103,70,60561,0,0,64,76459,0,0,64,75040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,49000,70,62017
"EN5181","Gokhale Education Society, College of Engineering",,,,,"Nashik","Nashik","Civil","II","NA",19420,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"II",,"Civil","NA",81,42270,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,57648,0,0
"EN5181","Gokhale Education Society, College of Engineering",,,,,"Nashik","Nashik","Comp ","I","NA",25592,29,80,43425,86,34905,58,90995,72,56312,49,108324,58,90899,0,0,0,0,0,0,0,0,0,0,"0","0","0","0",0,0,70,62200,76,49136,"I",,"Comp ","NA",70,61035,"0","0",55,98089,0,0,53,102429,0,0,0,0,0,0,66,70018,0,0,0,0,0,0,0,0,0,0,68,66458,0,0
"EN5181","Gokhale Education Society, College of Engineering",,,,,"Nashik","Nashik","Comp ","II","NA",25020,30,0,0,0,0,60,87038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,60128,80,42773,"II",,"Comp ","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EN5181","Gokhale Education Society, College of Engineering",,,,,"Nashik","Nashik","Elect","I","NA",22772,35,81,41457,81,41634,57,92884,57,93735,73,54674,0,0,0,0,0,0,65,72527,0,0,0,0,71,59538,0,0,0,0,71,59313,71,58778,"I",,"Elect","NA",70,60741,0,0,65,71817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,90911,0,0,68,65569,51,105160
"EN5181","Gokhale Education Society, College of Engineering",,,,,"Nashik","Nashik","Elect","II","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,40188,0,0,"II",,"Elect","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,78324
"EN5181","Gokhale Education Society, College of Engineering",,,,,"Nashik","Nashik","E&TC","I","NA",24020,32,76,50115,79,45327,65,73308,64,76536,49,107973,48,109540,0,0,0,0,0,0,0,0,69,62716,0,0,0,0,0,0,73,55983,71,59056,"I",,"E&TC","NA",74,53505,"0","0",62,81261,0,0,0,0,0,0,52,103810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,62907,67,68961
"EN5181","Gokhale Education Society, College of Engineering",,,,,"Nashik","Nashik","E&TC","II","NA",30637,18,77,47700,86,35255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"II",,"E&TC","NA",0,0,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
