"College code","College name",,,,,"College area","    City","Branch","Round","Shift","AIEEE Rank","AIEEE Score","OPEN (MALE) Score","OPEN (MALE) SML","OPEN (FEMALE) Score","OPEN (FEMALE) SML","SC (MALE) Score","SC (MALE) SML","SC (FEMALE) Score","SC (FEMALE) SML","ST (MALE) Score","ST (MALE) SML","ST (FEMALE) Score","ST (FEMALE) SML","VJ (MALE) Score","VJ (MALE) SML","VJ (FEMALE) Score","VJ (FEMALE) SML","NT1 (MALE) Score","NT1 (MALE) SML","NT1 (FEMALE) Score","NT1 (FEMALE) SML","NT2 (MALE) Score","NT2 (MALE) SML","NT2 (FEMALE) Score","NT2 (FEMALE) SML","NT3 (MALE) Score","NT3 (MALE) SML","NT3 (FEMALE) Score","NT3 (FEMALE) SML","OBC (MALE) Score","OBC (MALE) SML","OBC (FEMALE) Score","OBC (FEMALE) SML","OTHER THAN HOME    UNIV.ROUND ",,"Branch","Shift","OPEN (MALE) Score","OPEN (MALE) SML","OPEN (FEMALE) Score","OPEN (FEMALE) SML","SC (MALE) Score","SC (MALE) SML","SC (FEMALE) Score","SC (FEMALE) SML","ST (MALE) Score","ST (MALE) SML","ST (FEMALE) Score","ST (FEMALE) SML","VJ (MALE) Score","VJ (MALE) SML","VJ (FEMALE) Score","VJ (FEMALE) SML","NT1 (MALE) Score","NT1 (MALE) SML","NT1 (FEMALE) Score","NT1 (FEMALE) SML","NT2 (MALE) Score","NT2 (MALE) SML","NT2 (FEMALE) Score","NT2 (FEMALE) SML","NT3 (MALE) Score","NT3 (MALE) SML","NT3 (FEMALE) Score","NT3 (FEMALE) SML","OBC (MALE) Score","OBC (MALE) SML","OBC (FEMALE) Score","OBC (FEMALE) SML"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EN5108","Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering",,,,,"Nashik","Nashik","Civil","I","NA",12191,60,101,21757,104,19701,73,54147,63,77294,78,46303,0,0,61,82804,0,0,68,66844,0,0,0,0,72,56755,0,0,0,0,94,27190,88,32291,"I",,"Civil","NA",93,27479,0,0,81,41225,0,0,68,66017,0,0,0,0,0,0,74,52392,0,0,0,0,53,102421,0,0,0,0,91,29187,0,0
"EN5108","Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering",,,,,"Nashik","Nashik","Civil","II","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"II",,"Civil","NA",145,4133,0,0,0,0,0,0,61,84080,0,0,0,0,0,0,0,0,0,0,0,0,107,17785,0,0,0,0,0,0,0,0
"EN5108","Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering",,,,,"Nashik","Nashik","Comp","I","NA",12725,59,90,30301,94,26963,72,56131,79,44064,60,86374,0,0,0,0,66,71635,0,0,0,0,73,55018,0,0,0,0,87,34158,86,35325,90,30417,"I",,"Comp","NA",87,34352,0,0,67,68877,71,59920,58,90336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,37519,86,34865
"EN5108","Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering",,,,,"Nashik","Nashik","Comp","II","NA",0,0,100,22122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"II",,"Comp","NA",0,0,0,0,68,65942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,38420
"EN5108","Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering",,,,,"Nashik","Nashik","E & TC","I","NA",15218,52,97,24732,105,18792,71,58855,79,43965,78,45849,73,55639,77,48028,0,0,69,64647,0,0,71,58583,0,0,0,0,0,0,93,28138,95,25935,"I",,"E & TC","NA",92,28858,119,11533,75,52115,0,0,55,98491,0,0,0,0,0,0,65,72807,0,0,72,57029,0,0,0,0,0,0,91,30084,91,29826
"EN5108","Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering",,,,,"Nashik","Nashik","E & TC","II","NA",13685,56,96,25513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"II",,"E & TC","NA",80,43457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EN5108","Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering",,,,,"Nashik","Nashik","IT","I","NA",12725,59,79,44958,83,38448,62,81540,62,81705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,47631,77,48606,"I",,"IT","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EN5108","Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Engineering",,,,,"Nashik","Nashik","IT","II","NA",16116,50,74,52622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"II",,"IT","NA",0,0,0,0,61,83931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
